Original Question,Variation 1,Variation 2
What type of malware does admin@338 use to spy on their targets' systems?,"What type of malicious software does admin@338 use to establish unauthorized access to the systems of their targets, allowing them to spy on sensitive information?","What kind of remote access Trojan does admin@338 use to secretly gain unauthorized access to the systems of their targets, permitting them to spy on sensitive information?"
What is the typical ransomware or worm used by the GCMAN in its attacks?,"What type of malware, specifically ransomware or worm, is commonly employed by the GCMAN in its cyber attacks?","What kind of malware, typically ransomware or a worm, does the GCMAN usually utilize in its cyber assaults?"
What are the steps involved in identifying and removing Trojan-SMS.AndroidOS.Agent.ao?,'What is the process for detecting and eliminating Trojan-SMS.AndroidOS.Agent.ao malware from an infected device?',Describe the steps required to identify and eradicate the Trojan-SMS.AndroidOS.Agent.ao malware from an infected mobile device.
What behaviors or traits are commonly associated with Anchor?,"""What features or qualities are commonly associated with Anchor?""",What are the key characteristics or attributes that are typically linked to Anchor?
Which malicious software does the Cinnamon Tempest utilize to hold data hostage and demand payment?,"What type of malware does the Cinnamon Tempest employ to extort payment by encrypting and locking user data, rendering it inaccessible until a ransom is paid?","""What kind of malicious software does Cinnamon Tempest utilize to coerce victims into paying a ransom by encrypting and securing their data, effectively blocking access until the ransom is fulfilled?"""
What type of rootkit or ransomware is typically deployed by the Evilnum?,'What kind of rootkit or ransomware is commonly used by the threat group known as Evilnum?',What type of rootkit or ransomware is typically employed by the malicious group known as Evilnum?
What is the name of the backdoor or worm used by the Taidoor in its attacks?,What specific type of backdoor or worm is associated with the Taidoor's cyber attacks?,What kind of malware backdoor or worm is typically linked to the Taidoor's cyber attacks?
Which specific malware does the Magic Hound employ for stealing purposes?,Which specific malware does the Magic Hound employ for stealing purposes?,Which specific malware does the Magic Hound employ for stealing purposes?
What is the typical ransomware or worm used by the Ke3chang in its attacks?,What type of ransomware or worm does the Ke3chang typically use in its malicious operations?,"""What kind of malware is commonly employed by the Ke3chang in its cyber attacks, specifically in terms of ransomware and worm variants?"""
What is the name of the worm used by the APT41?,What is the name of the malicious worm associated with the APT41 cyber threat group?,"""What type of malware is linked to the APT41 cyber threat group and has been identified as a malicious worm?"""
In what way does Akira utilize a worm in its operations?,How does Akira exploit the capabilities of a worm within its operational framework?,What mechanisms does Akira utilize to leverage the worm's inherent capabilities within its system?
What types of attacks are typically linked to POWERTON?,What kinds of cyber threats are commonly associated with POWERTON?,What types of cyber threats have been linked to the POWERTON malware?
What spyware programs are linked to the APT28?,What types of spyware are associated with the APT28 threat group?,'What kinds of spyware are linked to the APT28 threat actor?'
Identify the specific trojan used by the Cleaver.,Which trojan malware was chosen by the Cleaver for its nefarious purposes?,Which specific trojan malware did the Cleaver utilize for its malicious goals?
